id,set_id
oai:repositorio.utn.edu.ec:123456789/3735,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2615,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5918,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10366,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7648,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7647,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8612,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8613,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8988,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/601,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/581,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10293,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/587,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1771,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10255,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/9016,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2616,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8437,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10256,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/611,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/598,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1863,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1872,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10484,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10251,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1067,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5187,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1041,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/6974,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1841,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10564,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1066,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1081,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5421,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2613,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10569,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10252,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8616,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7771,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/3781,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/6856,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10369,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1944,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10250,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1814,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5610,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/9532,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7721,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2670,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10598,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/520,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10553,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/4635,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1021,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8986,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/519,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/609,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/4662,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10361,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2648,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/9019,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2617,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10565,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/596,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1904,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2669,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10485,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8552,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8897,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2618,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/9027,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1036,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/615,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7661,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/9536,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1012,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2785,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2640,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/4628,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/10230,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/4630,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1073,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2664,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/9097,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/9542,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/9198,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7854,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8358,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8987,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8985,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8190,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/5932,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7726,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8438,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7731,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7719,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7801,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7641,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7722,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7007,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7800,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/2651,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/3734,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7810,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7710,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8755,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8133,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7278,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/8615,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7717,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/7727,col_123456789_40
oai:repositorio.utn.edu.ec:123456789/1797,col_123456789_40
